epoch,train_loss,val_loss,train_metric,val_metric
1,0.39596639251708987,0.39508984533567276,-0.00035652603814378383,-0.0011754187289625406
2,0.39309817135334013,0.39554035427078366,0.058405441300943495,0.008214259647675567
3,0.39085893595218657,0.3972660851857019,0.09280971624702215,0.005726192146539688
4,0.38668870091438295,0.4013998976775578,0.1362846349477768,0.0023810617655279144
5,0.3803250242471695,0.40615679914989167,0.18479382240772246,0.004251840605681378
6,0.372175341129303,0.41218353831578813,0.23337748372554779,0.0023237580196961522
7,0.3627147305011749,0.41956702442396254,0.27964143723249435,0.00247273309755006
8,0.3530051488876343,0.42673279179467094,0.32075898730754854,0.0024745800358701555
9,0.3428280510902405,0.4342961841159397,0.3583435043096542,0.0032492163369343395
10,0.3326174430847168,0.44408335193755133,0.3929302045106888,-0.0003959815690500869
